id,english,banjara,notes,audio_file,timestamp
1,"The community began to follow his guidance.","apan gor samaj voor vaate saamlen lagpade","apan-our, gor -gor/lambada/banjara, samaj-community, voor-his, vaate-words, saamlen-listening, lagpade-started",apan_gor_samaj_voor_vaate_saamlen_lagpade.wav,2026-02-12T06:14:02.836Z
2,"He became Guru to our people.","Vuu apner guru er nai vego.","Vuu-he/that person, apner-our, guru  er- teacher/guru, nai-like, vego-became",vuu_apner_guru_er_nai_vego.wav,2026-02-12T06:16:02.396Z
3,"But to fully understand his significance, we must understand where we came from.","panan apan voor  puuro mahatv samjene, apan vu kattethi aayoch ko bhi dheknu","panan-but, apan-our,  voor-him, puuro-total/full/complete, mahatv-significance/importance, samjene-understand, apan-us, vu-he, kattethi-where, aayoch ko- from came, bhi-also, dheknu-to be seen/ seen.",panan_apan_voor_puuro_mahatv_samjene_apan_vu_kattethi_aayoch_ko_bhi_dheknu.wav,2026-02-12T06:20:21.955Z
4,"Our roots.","apner jade","apner-our, jade-roots",apner_jade.wav,2026-02-12T06:21:22.827Z
5,"Our ancestral homeland.","apner baap dadvur jaag.","apner-our, baap-father dada vur- father's, grandfathers's, jaag-place/lang.",apner_baap_dadvur_jaag.wav,2026-02-12T06:24:16.739Z
6,"The Mewar region of Rajasthan.","Rajasthan eer Mewar","Rajasthan eer - of rajastha, Mewar-mewar",rajasthan_eer_mewar.wav,2026-02-12T06:26:11.619Z
7,"The land of Chittorgarh.","Chittorgarh eer jammi","Chittorgarh eer -of Chittorgarh, jammi-land",chittorgarh_eer_jammi.wav,2026-02-12T06:27:28.155Z
8,"This is our ancestral homeland.","aper baap dada vur matrubhumi","aper-our, baap dada vur- fathers' grandfather's, matrubhumi-homeland",aper_baap_dada_vur_matrubhumi.wav,2026-02-12T06:28:44.987Z
9,"Mewar region.","Mewar kshetr","Mewar-mewar, kshetr-region",mewar_kshetr.wav,2026-02-12T06:29:56.163Z
10,"Chittorgarh fort.","Chittorgarh eer kila.","Chittorgarh eer - Chittorgarh's, kila-fort",chittorgarh_eer_kila.wav,2026-02-12T06:31:12.275Z
