id,english,banjara,notes,audio_file,timestamp
1,"Where do you work?","Tu kai kaam karrochi?","Tu=you, kai=what, kaam=work, karrochi=doing",tu_kai_kaam_karrochi.webm,2026-02-09T13:37:40.946Z
2,"I am going to the village tomorrow.","me savar taanden jaayevalo chu","me=I, savar=tomorrow, taanden=to village, jaayevalo chu = will be going",me_savar_taanden_jaayevalo_chu.webm,2026-02-09T13:39:31.883Z
3,"This food is very tasty.","ee daliya ghano aacho laago.","ee=this, dailya=food, ghano=very, aacho-good, laago-felt.",ee_daliya_ghano_aacho_laago.webm,2026-02-09T13:41:35.595Z
4,"How much for this shirt?","ee jhiglare kai bhaav che?","ee=this, jhiglare=shirt's, kai=what, bhaav=cost",ee_jhiglare_kai_bhaav_che.webm,2026-02-09T13:42:53.755Z
5,"My stomach is aching.","Maaro peetemai dookroche","Maaro=my, peetemai-inside stomach, dookroche-aching",maaro_peetemai_dookroche.webm,2026-02-09T13:44:05.811Z
6,"It is raining heavily outside.","baar ghano paani padro che.","baar=outside, ghano=very, paani padro=raining",baar_ghano_paani_padro_che.webm,2026-02-09T13:45:55.635Z
7,"Can you give me some water?","mann channik paani dechi ge?","mann-me, channik-some, paani-water, dechi ge - can you give",mann_channik_paani_dechi_ge.webm,2026-02-09T13:47:03.707Z
8,"I don't have money.","maar kan peesa cheeni","maar-I,  kan-near,  peesa-money, cheeni-dont have",maar_kan_peesa_cheeni.webm,2026-02-09T13:48:19.203Z
9,"Let's go to the market.","chal, dukaanen jaama","chal-lets go, dukaanen-market, jaama-go",chal_dukaanen_jaama.webm,2026-02-09T13:49:22.323Z
10,"The bus is late today.","aaj bus deer eeti aaveche.","aaj-today, bus-bus, deer eeti - will be late, aaveche-come.",aaj_bus_deer_eeti_aaveche.webm,2026-02-09T13:51:25.483Z
11,"Who is that man?","Vu maati kuun che?","Vu-that, maati-man, kuun-who",vu_maati_kuun_che.webm,2026-02-09T13:52:31.691Z
12,"I want to buy vegetables.","mann sabji leer che","mann-i, sabji-vegetables, leer che- want to take",mann_sabji_leer_che.webm,2026-02-09T13:53:30.771Z
13,"My mother is sick.","mar yaadi bimar cha","mar-my, yaadi-mother, bimar-sick",mar_yaadi_bimar_cha.webm,2026-02-09T13:54:19.987Z
14,"What did you say?","Tu kai ko?","Tu-you, kai-what, ko-say",tu_kai_ko.webm,2026-02-09T13:55:11.739Z
15,"I did not hear you.","mann aant aai koni","mann-me, aant-hear, aai koni - cant / did not",mann_aant_aai_koni.webm,2026-02-09T13:56:29.715Z
16,"The sun is very hot.","suraj ghano taato che","suraj-sun, ghano-very, taato che- is hot",suraj_ghano_taato_che.webm,2026-02-09T13:57:49.363Z
17,"Children are playing.","chachar ramre che","chachar-children, ramre che- are playing",chachar_ramre_che.webm,2026-02-09T13:58:23.211Z
18,"Cows are grazing in the field.","gavdi kheteermai khad khareeche","gavdi-cows, kheteermai- inside field, khad-grass, khareeche- are eating",gavdi_kheteermai_khad_khareeche.webm,2026-02-09T13:59:44.979Z
19,"Close the door.","darvajo band kar","darvajo-door, band-close, kar-do",darvajo_band_kar.webm,2026-02-09T14:00:37.147Z
20,"Open the window.","Khitki khol / khikti vagad","Khitki- window, khol-open, vagad-open",khitki_khol_khikti_vagad.webm,2026-02-09T14:02:00.666Z
